,naver_pk
421,"37.5713142720, 127.0137508761"
422,"37.5725709990, 126.9842389267"
423,"37.5760783221, 126.9902751610"
424,"37.5745492871, 126.9897179519"
425,"37.6064035838, 126.9597607331"
426,"37.5709617749, 126.9814379838"
427,"37.5733320692, 127.0193931559"
428,"37.5685442148, 126.9884257718"
429,"37.5730785091, 126.9847702939"
430,"37.5734073707, 126.9887777521"
431,"37.5709617749, 126.9814379838"
432,"37.4879011619, 126.9827769675"
433,"37.5746471194, 126.9895395315"
434,"37.5030401070, 127.0237040932"
435,"37.5022393839, 126.9106077973"
436,"37.5709699888, 126.9896544878"
437,"37.5716448555, 127.0041133840"
438,"37.5747330505, 126.9903160889"
439,"37.5763592253, 126.9899543015"
440,"nan, nan"
441,"nan, nan"
442,"37.5708550907, 127.0115460602"
443,"nan, nan"
444,"37.5721772002, 126.9883439330"
445,"37.5320708903, 126.9945909841"
446,"37.5238264659, 127.0542400917"
447,"37.5757665644, 126.9890881433"
448,"37.5706075949, 127.0114679166"
449,"37.5618096234, 126.9929157640"
450,"37.5745829398, 126.9968582963"
451,"nan, nan"
452,"37.5238470743, 127.0416492277"
453,"37.5057885878, 127.0515416319"
454,"37.5839587218, 126.9991119297"
455,"37.5751162646, 127.0207162838"
456,"37.5017635876, 127.0425653325"
457,"nan, nan"
458,"37.5719932077, 127.0134395922"
459,"37.5688707409, 126.9884798279"
460,"37.5113096112, 127.0981417512"
461,"37.5747705557, 127.0017475085"
462,"37.5753773597, 127.0207907308"
463,"37.5137519613, 127.1044468908"
464,"37.5705768749, 126.9853141452"
465,"37.5728779209, 126.9905473697"
466,"37.5763045273, 127.0414660547"
467,"37.5827909263, 126.9977550649"
468,"37.5697058451, 126.9850150289"
469,"nan, nan"
470,"37.5693967764, 126.9841170059"
471,"37.5686058675, 126.9907480353"
472,"37.5712257975, 126.9898398694"
473,"37.5709437529, 127.0115028327"
474,"37.5705952599, 127.0048080118"
475,"37.5722011258, 127.0120629069"
476,"37.5715865824, 127.0073775518"
477,"37.5709617749, 126.9814379838"
478,"37.5736680295, 127.0210906909"
479,"37.5710773184, 126.9898976201"
480,"37.5716276685, 127.0034224234"
481,"37.5777812141, 127.0222659223"
482,"37.5708648152, 126.9745961741"
483,"37.5709814930, 127.0116213556"
484,"37.5617489453, 126.9879597173"
485,"37.4934145840, 127.0281381847"
486,"37.5045001269, 127.0526166321"
487,"37.5766770718, 126.9896721507"
488,"37.5731871189, 126.9892219827"
489,"37.5710320261, 127.0117497288"
490,"37.5696079307, 127.0829314699"
491,"nan, nan"
492,"37.5727180136, 127.0121903397"
493,"37.5709301711, 127.0112618347"
494,"37.5834409082, 126.9980547274"
495,"37.5708764409, 126.9904302377"
496,"37.5730312659, 127.0174099278"
497,"37.5714171635, 126.9897779244"
498,"37.5764164599, 127.0223614007"
499,"37.5766799839, 126.9911360105"
500,"nan, nan"
501,"37.5712668210, 126.9913225220"
502,"37.5716868234, 127.0000987086"
503,"37.5721925821, 127.0109790280"
504,"37.5497775839, 126.8483620621"
505,"37.6094969620, 126.9751569041"
506,"37.5713476551, 127.0180849848"
507,"37.5748375488, 126.9912509032"
508,"37.5708583553, 127.0103483267"
509,"37.5722549925, 126.9897038911"
510,"37.5737227931, 127.0196209044"
511,"nan, nan"
512,"37.5730434844, 127.0199111974"
513,"37.5699367705, 126.9913062630"
514,"37.5722752177, 126.9891767214"
515,"nan, nan"
516,"37.5689789424, 126.9929619473"
517,"37.5769157929, 126.9721410612"
518,"37.5708719608, 127.0172748343"
519,"37.5718244871, 127.0131209091"
520,"37.5731064268, 126.9833386468"
521,"37.5712562345, 126.9907329918"
522,"37.5739939526, 126.9882048649"
523,"37.5159349319, 127.1128496367"
